"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"181","PGAP1","ENSMUSG00000073678","181.1.1","PGAP1","ENSG00000197121","post-GPI attachment to proteins inositol deacylase 1 [Source:HGNC Symbol;Acc:HGNC:25712]"
"182","ANKRD44","ENSMUSG00000052331","182.1.1","ANKRD44","ENSG00000065413","ankyrin repeat domain 44 [Source:HGNC Symbol;Acc:HGNC:25259]"
"183","4930444A19RIK","ENSMUSG00000101674","183.1.1","N/A","N/A","N/A"
"184","SF3B1","ENSMUSG00000025982","184.1.1","SF3B1","ENSG00000115524","splicing factor 3b subunit 1 [Source:HGNC Symbol;Acc:HGNC:10768]"
"185","COQ10B","ENSMUSG00000025981","185.1.1","COQ10B","ENSG00000115520","coenzyme Q10B [Source:HGNC Symbol;Acc:HGNC:25819]"
"186","HSPD1","ENSMUSG00000025980","186.1.1","HSPD1","ENSG00000144381","heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]"
"187","HSPE1","ENSMUSG00000073676","187.1.1","N/A","N/A","N/A"
"188","MOB4","ENSMUSG00000025979","188.1.1","MOB4","ENSG00000115540","MOB family member 4, phocein [Source:HGNC Symbol;Acc:HGNC:17261]"
"189","RFTN2","ENSMUSG00000025978","189.1.1","RFTN2","ENSG00000162944","raftlin family member 2 [Source:HGNC Symbol;Acc:HGNC:26402]"
"190","MARS2","ENSMUSG00000046994","190.1.1","MARS2","ENSG00000247626","methionyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25133]"
"191","BOLL","ENSMUSG00000025977","191.1.1","BOLL","ENSG00000152430","boule homolog, RNA binding protein [Source:HGNC Symbol;Acc:HGNC:14273]"
"192","PLCL1","ENSMUSG00000038349","192.1.1","PLCL1","ENSG00000115896","phospholipase C like 1 (inactive) [Source:HGNC Symbol;Acc:HGNC:9063]"
"193","SATB2","ENSMUSG00000038331","193.1.1","SATB2","ENSG00000119042","SATB homeobox 2 [Source:HGNC Symbol;Acc:HGNC:21637]"
"194","1700066M21RIK","ENSMUSG00000038323","194.1.1","C2orf69","ENSG00000178074","chromosome 2 open reading frame 69 [Source:HGNC Symbol;Acc:HGNC:26799]"
"195","TYW5","ENSMUSG00000048495","195.1.1","TYW5","ENSG00000162971","tRNA-yW synthesizing protein 5 [Source:HGNC Symbol;Acc:HGNC:26754]"
"196","MAIP1","ENSMUSG00000025971","196.1.1","MAIP1","ENSG00000162972","matrix AAA peptidase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:26198]"
"197","SPATS2L","ENSMUSG00000038305","197.1.1","SPATS2L","ENSG00000196141","spermatogenesis associated serine rich 2 like [Source:HGNC Symbol;Acc:HGNC:24574]"
"198","GM17234","ENSMUSG00000091283","198.1.1","N/A","N/A","N/A"
"199","KCTD18","ENSMUSG00000054770","199.1.1","KCTD18","ENSG00000155729","potassium channel tetramerization domain containing 18 [Source:HGNC Symbol;Acc:HGNC:26446]"
"200","AOX1","ENSMUSG00000063558","200.1.1","AOX1","ENSG00000138356","aldehyde oxidase 1 [Source:HGNC Symbol;Acc:HGNC:553]"
"201","AOX2","ENSMUSG00000079554","201.1.1","N/A","N/A","N/A"
"202","BZW1","ENSMUSG00000051223","202.1.1","BZW1","ENSG00000082153","basic leucine zipper and W2 domains 1 [Source:HGNC Symbol;Acc:HGNC:18380]"
"203","CLK1","ENSMUSG00000026034","203.1.1","CLK1","ENSG00000013441","CDC like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2068]"
"204","PPIL3","ENSMUSG00000026035","204.1.1","PPIL3","ENSG00000240344","peptidylprolyl isomerase like 3 [Source:HGNC Symbol;Acc:HGNC:9262]"
"205","NIF3L1","ENSMUSG00000026036","205.1.1","NIF3L1","ENSG00000196290","NGG1 interacting factor 3 like 1 [Source:HGNC Symbol;Acc:HGNC:13390]"
"206","ORC2","ENSMUSG00000026037","206.1.1","ORC2","ENSG00000115942","origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]"
"207","GM15834","ENSMUSG00000085054","207.1.1","N/A","N/A","N/A"
"208","FAM126B","N/A","208.1.1","N/A","N/A","N/A"
"209","NDUFB3","ENSMUSG00000026032","209.1.1","NDUFB3","ENSG00000119013","NADH:ubiquinone oxidoreductase subunit B3 [Source:HGNC Symbol;Acc:HGNC:7698]"
"210","CFLAR","ENSMUSG00000026031","210.1.1","CFLAR","ENSG00000003402","CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]"
"211","CASP8","ENSMUSG00000026029","211.1.1","CASP8","ENSG00000064012","caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]"
"212","TRAK2","ENSMUSG00000026028","212.1.1","TRAK2","ENSG00000115993","trafficking kinesin protein 2 [Source:HGNC Symbol;Acc:HGNC:13206]"
"213","STRADB","ENSMUSG00000026027","213.1.1","STRADB","ENSG00000082146","STE20 related adaptor beta [Source:HGNC Symbol;Acc:HGNC:13205]"
"214","TMEM237","ENSMUSG00000038079","214.1.1","TMEM237","ENSG00000155755","transmembrane protein 237 [Source:HGNC Symbol;Acc:HGNC:14432]"
"215","MPP4","ENSMUSG00000079550","215.1.1","MPP4","ENSG00000082126","MAGUK p55 scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:13680]"
"216","ALS2","ENSMUSG00000026024","216.1.1","ALS2","ENSG00000003393","alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]"
"217","GM973","ENSMUSG00000047361","217.1.1","KIAA2012","ENSG00000182329","KIAA2012 [Source:HGNC Symbol;Acc:HGNC:51250]"
"218","GM28411","ENSMUSG00000099811","218.1.1","N/A","N/A","N/A"
"219","SUMO1","ENSMUSG00000026021","219.1.1","N/A","N/A","N/A"
"220","NOP58","ENSMUSG00000026020","220.1.1","NOP58","ENSG00000055044","NOP58 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:29926]"
"221","BMPR2","ENSMUSG00000067336","221.1.1","BMPR2","ENSG00000204217","bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]"
"222","FAM117B","ENSMUSG00000041040","222.1.1","FAM117B","ENSG00000138439","family with sequence similarity 117 member B [Source:HGNC Symbol;Acc:HGNC:14440]"
"223","ICA1L","ENSMUSG00000026018","223.1.1","ICA1L","ENSG00000163596","islet cell autoantigen 1 like [Source:HGNC Symbol;Acc:HGNC:14442]"
"224","WDR12","ENSMUSG00000026019","224.1.1","WDR12","ENSG00000138442","WD repeat domain 12 [Source:HGNC Symbol;Acc:HGNC:14098]"
"225","CARF","ENSMUSG00000026017","225.1.1","CARF","ENSG00000138380","calcium responsive transcription factor [Source:HGNC Symbol;Acc:HGNC:14435]"
"226","NBEAL1","ENSMUSG00000073664","226.1.1","NBEAL1","ENSG00000144426","neurobeachin like 1 [Source:HGNC Symbol;Acc:HGNC:20681]"
"227","CYP20A1","ENSMUSG00000049439","227.1.1","CYP20A1","ENSG00000119004","cytochrome P450 family 20 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:20576]"
"228","ABI2","ENSMUSG00000026782","228.1.1","ABI2","ENSG00000138443","abl interactor 2 [Source:HGNC Symbol;Acc:HGNC:24011]"
"229","RAPH1","ENSMUSG00000026014","229.1.1","RAPH1","ENSG00000173166","Ras association (RalGDS/AF-6) and pleckstrin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:14436]"
"230","PARD3B","ENSMUSG00000052062","230.1.1","PARD3B","ENSG00000116117","par-3 family cell polarity regulator beta [Source:HGNC Symbol;Acc:HGNC:14446]"
"231","PARD3BOS1","ENSMUSG00000085842","231.1.1","N/A","N/A","N/A"
"232","PARD3BOS3","ENSMUSG00000085400","232.1.1","N/A","N/A","N/A"
"233","NRP2","ENSMUSG00000025969","233.1.1","NRP2","ENSG00000118257","neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]"
"234","INO80D","ENSMUSG00000040865","234.1.1","INO80D","ENSG00000114933","INO80 complex subunit D [Source:HGNC Symbol;Acc:HGNC:25997]"
"235","INO80DOS","ENSMUSG00000084799","235.1.1","N/A","N/A","N/A"
"236","GM20342","ENSMUSG00000101599","236.1.1","N/A","N/A","N/A"
"237","NDUFS1","ENSMUSG00000025968","237.1.1","NDUFS1","ENSG00000023228","NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]"
"238","EEF1B2","ENSMUSG00000025967","238.1.1","EEF1B2","ENSG00000114942","eukaryotic translation elongation factor 1 beta 2 [Source:HGNC Symbol;Acc:HGNC:3208]"
"239","GPR1","N/A","239.1.1","N/A","N/A","N/A"
"240","ZDBF2","ENSMUSG00000027520","240.1.1","ZDBF2","ENSG00000204186","zinc finger DBF-type containing 2 [Source:HGNC Symbol;Acc:HGNC:29313]"
"241","ADAM23","ENSMUSG00000025964","241.1.1","ADAM23","ENSG00000114948","ADAM metallopeptidase domain 23 [Source:HGNC Symbol;Acc:HGNC:202]"
"242","FASTKD2","ENSMUSG00000025962","242.1.1","FASTKD2","ENSG00000118246","FAST kinase domains 2 [Source:HGNC Symbol;Acc:HGNC:29160]"
"243","4933402D24RIK","ENSMUSG00000025961","243.1.1","N/A","N/A","N/A"
"244","KLF7","ENSMUSG00000025959","244.1.1","KLF7","ENSG00000118263","KLF transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:6350]"
"245","GM26649","N/A","245.1.1","N/A","N/A","N/A"
"246","GM13748","ENSMUSG00000086836","246.1.1","N/A","N/A","N/A"
"247","GM28981","ENSMUSG00000101895","247.1.1","N/A","N/A","N/A"
"248","CREB1","ENSMUSG00000025958","248.1.1","CREB1","ENSG00000118260","cAMP responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2345]"
"249","METTL21A","ENSMUSG00000025956","249.1.1","METTL21A","ENSG00000144401","methyltransferase 21A, HSPA lysine [Source:HGNC Symbol;Acc:HGNC:30476]"
"250","CCNYL1","ENSMUSG00000070871","250.1.1","CCNYL1B","ENSG00000284209","cyclin Y like 1B [Source:HGNC Symbol;Acc:HGNC:56313]"
"251","PLEKHM3","ENSMUSG00000051344","251.1.1","PLEKHM3","ENSG00000178385","pleckstrin homology domain containing M3 [Source:HGNC Symbol;Acc:HGNC:34006]"
"252","GM28845","ENSMUSG00000100846","252.1.1","N/A","N/A","N/A"
"253","D630023F18RIK","ENSMUSG00000044816","253.1.1","C2orf80","ENSG00000188674","chromosome 2 open reading frame 80 [Source:HGNC Symbol;Acc:HGNC:34352]"
"254","IDH1","ENSMUSG00000025950","254.1.1","IDH1","ENSG00000138413","isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]"
"255","PIKFYVE","ENSMUSG00000025949","255.1.1","PIKFYVE","ENSG00000115020","phosphoinositide kinase, FYVE-type zinc finger containing [Source:HGNC Symbol;Acc:HGNC:23785]"
"256","PTH2R","ENSMUSG00000025946","256.1.1","PTH2R","ENSG00000144407","parathyroid hormone 2 receptor [Source:HGNC Symbol;Acc:HGNC:9609]"
"257","MAP2","ENSMUSG00000015222","257.1.1","MAP2","ENSG00000078018","microtubule associated protein 2 [Source:HGNC Symbol;Acc:HGNC:6839]"
"258","GM10558","ENSMUSG00000073656","258.1.1","N/A","N/A","N/A"
"259","UNC80","ENSMUSG00000055567","259.1.1","UNC80","ENSG00000144406","unc-80 homolog, NALCN channel complex subunit [Source:HGNC Symbol;Acc:HGNC:26582]"
"260","RPE","ENSMUSG00000026005","260.1.1","RPE","ENSG00000197713","ribulose-5-phosphate-3-epimerase [Source:HGNC Symbol;Acc:HGNC:10293]"
"260","RPE","ENSMUSG00000026005","260.1.2","RPEL1","ENSG00000235376","ribulose-5-phosphate-3-epimerase like 1 [Source:HGNC Symbol;Acc:HGNC:45241]"
"261","KANSL1L","ENSMUSG00000026004","261.1.1","KANSL1L","ENSG00000144445","KAT8 regulatory NSL complex subunit 1 like [Source:HGNC Symbol;Acc:HGNC:26310]"
"262","ACADL","ENSMUSG00000026003","262.1.1","ACADL","ENSG00000115361","acyl-CoA dehydrogenase long chain [Source:HGNC Symbol;Acc:HGNC:88]"
"263","LANCL1","ENSMUSG00000026000","263.1.1","LANCL1","ENSG00000115365","LanC like glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:6508]"
"264","ERBB4","ENSMUSG00000062209","264.1.1","ERBB4","ENSG00000178568","erb-b2 receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3432]"
"265","GM29114","ENSMUSG00000101156","265.1.1","N/A","N/A","N/A"
"266","IKZF2","ENSMUSG00000025997","266.1.1","IKZF2","ENSG00000030419","IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]"
"267","SPAG16","ENSMUSG00000053153","267.1.1","SPAG16","ENSG00000144451","sperm associated antigen 16 [Source:HGNC Symbol;Acc:HGNC:23225]"
"268","VWC2L","ENSMUSG00000045648","268.1.1","VWC2L","ENSG00000174453","von Willebrand factor C domain containing 2 like [Source:HGNC Symbol;Acc:HGNC:37203]"
"269","ATIC","ENSMUSG00000026192","269.1.1","ATIC","ENSG00000138363","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:794]"
"270","MREG","ENSMUSG00000039395","270.1.1","MREG","ENSG00000118242","melanoregulin [Source:HGNC Symbol;Acc:HGNC:25478]"
"271","D230017M19RIK","N/A","271.1.1","N/A","N/A","N/A"
"272","PECR","ENSMUSG00000026189","272.1.1","PECR","ENSG00000115425","peroxisomal trans-2-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:18281]"
"273","TMEM169","ENSMUSG00000026188","273.1.1","TMEM169","ENSG00000163449","transmembrane protein 169 [Source:HGNC Symbol;Acc:HGNC:25130]"
"274","XRCC5","ENSMUSG00000026187","274.1.1","XRCC5","ENSG00000079246","X-ray repair cross complementing 5 [Source:HGNC Symbol;Acc:HGNC:12833]"
"275","MARCH4","N/A","275.1.1","N/A","N/A","N/A"
"276","SMARCAL1","ENSMUSG00000039354","276.1.1","SMARCAL1","ENSG00000138375","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1 [Source:HGNC Symbol;Acc:HGNC:11102]"
"277","RPL37A","ENSMUSG00000046330","277.1.1","RPL37A","ENSG00000197756","ribosomal protein L37a [Source:HGNC Symbol;Acc:HGNC:10348]"
"278","IGFBP2","ENSMUSG00000039323","278.1.1","IGFBP2","ENSG00000115457","insulin like growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5471]"
"279","IGFBP5","ENSMUSG00000026185","279.1.1","IGFBP5","ENSG00000115461","insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]"
"280","6030407O03RIK","ENSMUSG00000100301","280.1.1","N/A","N/A","N/A"
"281","TNS1","ENSMUSG00000055322","281.1.1","TNS1","ENSG00000079308","tensin 1 [Source:HGNC Symbol;Acc:HGNC:11973]"
"282","ARPC2","ENSMUSG00000006304","282.1.1","ARPC2","ENSG00000163466","actin related protein 2/3 complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:705]"
"283","AAMP","ENSMUSG00000006299","283.1.1","AAMP","ENSG00000127837","angio associated migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18]"
"284","PNKD","ENSMUSG00000026179","284.1.1","PNKD","ENSG00000127838","PNKD metallo-beta-lactamase domain containing [Source:HGNC Symbol;Acc:HGNC:9153]"
"285","TMBIM1","ENSMUSG00000006301","285.1.1","TMBIM1","ENSG00000135926","transmembrane BAX inhibitor motif containing 1 [Source:HGNC Symbol;Acc:HGNC:23410]"
"286","SLC11A1","ENSMUSG00000026177","286.1.1","SLC11A1","ENSG00000018280","solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]"
"287","USP37","ENSMUSG00000033364","287.1.1","USP37","ENSG00000135913","ubiquitin specific peptidase 37 [Source:HGNC Symbol;Acc:HGNC:20063]"
"288","CNOT9","ENSMUSG00000026174","288.1.1","CNOT9","ENSG00000144580","CCR4-NOT transcription complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:10445]"
"289","PLCD4","ENSMUSG00000026173","289.1.1","PLCD4","ENSG00000115556","phospholipase C delta 4 [Source:HGNC Symbol;Acc:HGNC:9062]"
"290","ZFP142","ENSMUSG00000026135","290.1.1","ZNF142","ENSG00000115568","zinc finger protein 142 [Source:HGNC Symbol;Acc:HGNC:12927]"
"291","BCS1L","ENSMUSG00000026172","291.1.1","BCS1L","ENSG00000074582","BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]"
"292","RNF25","ENSMUSG00000026171","292.1.1","RNF25","ENSG00000163481","ring finger protein 25 [Source:HGNC Symbol;Acc:HGNC:14662]"
"293","STK36","ENSMUSG00000033276","293.1.1","STK36","ENSG00000163482","serine/threonine kinase 36 [Source:HGNC Symbol;Acc:HGNC:17209]"
"294","TTLL4","ENSMUSG00000033257","294.1.1","TTLL4","ENSG00000135912","tubulin tyrosine ligase like 4 [Source:HGNC Symbol;Acc:HGNC:28976]"
"295","CYP27A1","ENSMUSG00000026170","295.1.1","CYP27A1","ENSG00000135929","cytochrome P450 family 27 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2605]"
"296","CDK5R2","ENSMUSG00000090071","296.1.1","CDK5R2","ENSG00000171450","cyclin dependent kinase 5 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:1776]"
"297","CFAP65","ENSMUSG00000047021","297.1.1","CFAP65","ENSG00000181378","cilia and flagella associated protein 65 [Source:HGNC Symbol;Acc:HGNC:25325]"
"298","NHEJ1","ENSMUSG00000026162","298.1.1","NHEJ1","ENSG00000187736","non-homologous end joining factor 1 [Source:HGNC Symbol;Acc:HGNC:25737]"
"299","CNPPD1","ENSMUSG00000033159","299.1.1","CNPPD1","ENSG00000115649","cyclin Pas1/PHO80 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25220]"
"300","RETREG2","ENSMUSG00000049339","300.1.1","RETREG2","ENSG00000144567","reticulophagy regulator family member 2 [Source:HGNC Symbol;Acc:HGNC:28450]"
"301","ZFAND2B","ENSMUSG00000026197","301.1.1","ZFAND2B","ENSG00000158552","zinc finger AN1-type containing 2B [Source:HGNC Symbol;Acc:HGNC:25206]"
"302","ABCB6","ENSMUSG00000026198","302.1.1","ABCB6","ENSG00000115657","ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]"
"303","ATG9A","ENSMUSG00000033124","303.1.1","ATG9A","ENSG00000198925","autophagy related 9A [Source:HGNC Symbol;Acc:HGNC:22408]"
"304","ANKZF1","ENSMUSG00000026199","304.1.1","ANKZF1","ENSG00000163516","ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:25527]"
"305","GLB1L","ENSMUSG00000026200","305.1.1","GLB1L","ENSG00000163521","galactosidase beta 1 like [Source:HGNC Symbol;Acc:HGNC:28129]"
"306","STK16","ENSMUSG00000026201","306.1.1","STK16","ENSG00000115661","serine/threonine kinase 16 [Source:HGNC Symbol;Acc:HGNC:11394]"
"307","TUBA4A","ENSMUSG00000026202","307.1.1","TUBA4A","ENSG00000127824","tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]"
"308","DNAJB2","ENSMUSG00000026203","308.1.1","DNAJB2","ENSG00000135924","DnaJ heat shock protein family (Hsp40) member B2 [Source:HGNC Symbol;Acc:HGNC:5228]"
"309","PTPRN","ENSMUSG00000026204","309.1.1","PTPRN","ENSG00000054356","protein tyrosine phosphatase receptor type N [Source:HGNC Symbol;Acc:HGNC:9676]"
"310","GM28294","ENSMUSG00000101840","310.1.1","N/A","N/A","N/A"
"311","RESP18","ENSMUSG00000033061","311.1.1","RESP18","ENSG00000182698","regulated endocrine specific protein 18 [Source:HGNC Symbol;Acc:HGNC:33762]"
"312","DNPEP","ENSMUSG00000026209","312.1.1","DNPEP","ENSG00000123992","aspartyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:2981]"
"313","SPEG","ENSMUSG00000026207","313.1.1","SPEG","ENSG00000072195","striated muscle enriched protein kinase [Source:HGNC Symbol;Acc:HGNC:16901]"
"314","GMPPA","ENSMUSG00000033021","314.1.1","GMPPA","ENSG00000144591","GDP-mannose pyrophosphorylase A [Source:HGNC Symbol;Acc:HGNC:22923]"
"315","ASIC4","ENSMUSG00000033007","315.1.1","ASIC4","ENSG00000072182","acid sensing ion channel subunit family member 4 [Source:HGNC Symbol;Acc:HGNC:21263]"
"316","CHPF","ENSMUSG00000032997","316.1.1","CHPF","ENSG00000123989","chondroitin polymerizing factor [Source:HGNC Symbol;Acc:HGNC:24291]"
"317","OBSL1","ENSMUSG00000026211","317.1.1","OBSL1","ENSG00000124006","obscurin like cytoskeletal adaptor 1 [Source:HGNC Symbol;Acc:HGNC:29092]"
"318","TMEM198","ENSMUSG00000051703","318.1.1","TMEM198","ENSG00000188760","transmembrane protein 198 [Source:HGNC Symbol;Acc:HGNC:33704]"
"319","INHA","ENSMUSG00000032968","319.1.1","INHA","ENSG00000123999","inhibin subunit alpha [Source:HGNC Symbol;Acc:HGNC:6065]"
"320","STK11IP","ENSMUSG00000026213","320.1.1","STK11IP","ENSG00000144589","serine/threonine kinase 11 interacting protein [Source:HGNC Symbol;Acc:HGNC:19184]"
"321","SLC4A3","ENSMUSG00000006576","321.1.1","SLC4A3","ENSG00000114923","solute carrier family 4 member 3 [Source:HGNC Symbol;Acc:HGNC:11029]"
"322","GM816","ENSMUSG00000100534","322.1.1","N/A","N/A","N/A"
"323","EPHA4","ENSMUSG00000026235","323.1.1","EPHA4","ENSG00000116106","EPH receptor A4 [Source:HGNC Symbol;Acc:HGNC:3388]"
"324","PAX3","ENSMUSG00000004872","324.1.1","PAX3","ENSG00000135903","paired box 3 [Source:HGNC Symbol;Acc:HGNC:8617]"
"325","SGPP2","ENSMUSG00000032908","325.1.1","SGPP2","ENSG00000163082","sphingosine-1-phosphate phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:19953]"
"326","GM28410","ENSMUSG00000099561","326.1.1","N/A","N/A","N/A"
"327","FARSB","ENSMUSG00000026245","327.1.1","FARSB","ENSG00000116120","phenylalanyl-tRNA synthetase subunit beta [Source:HGNC Symbol;Acc:HGNC:17800]"
"328","BC035947","ENSMUSG00000090486","328.1.1","ERVW-1","ENSG00000242950","endogenous retrovirus group W member 1, envelope [Source:HGNC Symbol;Acc:HGNC:13525]"
"329","ACSL3","ENSMUSG00000032883","329.1.1","ACSL3","ENSG00000123983","acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]"
"330","UTP14B","ENSMUSG00000079470","330.1.1","UTP14A","ENSG00000156697","UTP14A small subunit processome component [Source:HGNC Symbol;Acc:HGNC:10665]"
"330","UTP14B","ENSMUSG00000079470","330.1.2","UTP14C","ENSG00000253797","UTP14C small subunit processome component [Source:HGNC Symbol;Acc:HGNC:20321]"
"331","GM29536","ENSMUSG00000099706","331.1.1","N/A","N/A","N/A"
"332","SCG2","ENSMUSG00000050711","332.1.1","SCG2","ENSG00000171951","secretogranin II [Source:HGNC Symbol;Acc:HGNC:10575]"
"333","AP1S3","ENSMUSG00000054702","333.1.1","AP1S3","ENSG00000152056","adaptor related protein complex 1 subunit sigma 3 [Source:HGNC Symbol;Acc:HGNC:18971]"
"334","WDFY1","ENSMUSG00000073643","334.1.1","WDFY1","ENSG00000085449","WD repeat and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20451]"
"335","MRPL44","ENSMUSG00000026248","335.1.1","MRPL44","ENSG00000135900","mitochondrial ribosomal protein L44 [Source:HGNC Symbol;Acc:HGNC:16650]"
"336","SERPINE2","ENSMUSG00000026249","336.1.1","SERPINE2","ENSG00000135919","serpin family E member 2 [Source:HGNC Symbol;Acc:HGNC:8951]"
"337","CUL3","ENSMUSG00000004364","337.1.1","CUL3","ENSG00000036257","cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553]"
"338","DOCK10","ENSMUSG00000038608","338.1.1","DOCK10","ENSG00000135905","dedicator of cytokinesis 10 [Source:HGNC Symbol;Acc:HGNC:23479]"
